,LAT,LON,PRES,SAL,TEMP
0,-37.44899,-55.71455,2.0,33.6065,9.8858
1,-37.44903,-55.71467,3.0,33.6068,9.8866
2,-37.44906,-55.71486,4.0,33.607,9.8847
3,-37.44906,-55.71489,5.0,33.607,9.885
4,-37.44906,-55.7149,6.0,33.6071,9.8853
5,-37.44907,-55.71492,7.0,33.607,9.8849
6,-37.44908,-55.71492,8.0,33.6073,9.884
7,-37.44908,-55.71493,9.0,33.6073,9.8789
8,-37.44906,-55.71494,10.0,33.6088,9.8007
9,-37.44908,-55.71496,11.0,33.6103,9.7677
10,-37.44908,-55.71497,12.0,33.617,9.5665
11,-37.44908,-55.71498,13.0,33.6183,9.5294
12,-37.44908,-55.715,14.0,33.6178,9.5062
13,-37.44908,-55.71502,15.0,33.618,9.3708
14,-37.44908,-55.71502,16.0,33.6253,9.1888
15,-37.44909,-55.71504,17.0,33.6245,9.1417
16,-37.4491,-55.71505,18.0,33.625,9.1185
17,-37.4491,-55.71507,19.0,33.6259,9.0827
18,-37.4491,-55.7151,20.0,33.6279,9.0412
19,-37.4491,-55.71511,21.0,33.6547,8.7319
20,-37.4491,-55.71512,22.0,33.6819,8.551
21,-37.4491,-55.71514,23.0,33.688,8.4988
22,-37.4491,-55.71514,24.0,33.6916,8.464
23,-37.44911,-55.71517,25.0,33.6931,8.4509
24,-37.44912,-55.71518,26.0,33.694,8.4422
25,-37.44912,-55.7152,27.0,33.6943,8.4343
26,-37.44912,-55.7152,28.0,33.694,8.429
27,-37.44912,-55.71521,29.0,33.694,8.419
28,-37.44912,-55.71522,30.0,33.6937,8.4045
29,-37.44912,-55.71524,31.0,33.6934,8.396
30,-37.44914,-55.71525,32.0,33.6923,8.3856
31,-37.44914,-55.71526,33.0,33.6912,8.3641
32,-37.44914,-55.71527,34.0,33.6907,8.3481
33,-37.44914,-55.71531,35.0,33.6899,8.3287
34,-37.44914,-55.71532,36.0,33.6886,8.3127
35,-37.44914,-55.71532,37.0,33.6858,8.2763
36,-37.44914,-55.71532,38.0,33.6853,8.263
37,-37.44916,-55.71534,39.0,33.685,8.2562
38,-37.44914,-55.71537,40.0,33.6851,8.2513
39,-37.44915,-55.71538,41.0,33.6852,8.2454
40,-37.44916,-55.7154,42.0,33.6851,8.2386
41,-37.44916,-55.7154,43.0,33.6852,8.2361
42,-37.44917,-55.7154,44.0,33.6844,8.2291
43,-37.44918,-55.71542,45.0,33.6768,8.1808
44,-37.44916,-55.71544,46.0,33.6718,8.1454
45,-37.44916,-55.71544,47.0,33.6705,8.135
46,-37.44918,-55.71546,48.0,33.6647,8.0929
47,-37.44918,-55.71548,49.0,33.6648,8.0671
48,-37.44918,-55.7155,50.0,33.6647,8.0591
49,-37.44918,-55.7155,51.0,33.6647,8.0551
50,-37.44918,-55.71551,52.0,33.6649,8.054
51,-37.44918,-55.71552,53.0,33.665,8.0522
52,-37.44918,-55.71554,54.0,33.6682,8.0079
53,-37.44919,-55.71554,55.0,33.6769,7.9108
54,-37.4492,-55.71558,56.0,33.696,7.6368
55,-37.4492,-55.71558,57.0,33.6969,7.6251
56,-37.4492,-55.7156,58.0,33.6975,7.6189
57,-37.4492,-55.7156,59.0,33.6981,7.6145
58,-37.44922,-55.71561,60.0,33.6984,7.6158
59,-37.4492,-55.71563,61.0,33.6992,7.6137
60,-37.44922,-55.71565,62.0,33.7,7.609
61,-37.44922,-55.71567,63.0,33.7003,7.6067
62,-37.44922,-55.71568,64.0,33.7005,7.6068
63,-37.44922,-55.71568,65.0,33.7004,7.6067
64,-37.44922,-55.71569,66.0,33.7005,7.6065
65,-37.44924,-55.71572,67.0,33.7007,7.605
66,-37.44924,-55.71572,68.0,33.7008,7.6038
67,-37.44924,-55.71573,69.0,33.7008,7.6038
68,-37.44924,-55.71576,70.0,33.7008,7.604
69,-37.44924,-55.71578,71.0,33.7007,7.6045
70,-37.44924,-55.71578,72.0,33.7008,7.6041
71,-37.44925,-55.71579,73.0,33.7009,7.6017
72,-37.44926,-55.7158,74.0,33.7011,7.5998
73,-37.44926,-55.71585,75.0,33.701,7.5996
74,-37.44931,-55.71612,76.0,33.7006,7.6002
75,-37.44933,-55.71621,77.0,33.7005,7.6005
76,-37.44938,-55.71643,78.0,33.7006,7.6023
