,LAT,LON,PRES,SAL,TEMP
0,-31.99841,-50.33148,3.0,32.2456,18.3553
1,-31.99855,-50.33156,4.0,32.2511,18.3597
2,-31.99862,-50.33158,5.0,32.2566,18.3641
3,-31.99862,-50.3316,6.0,32.2536,18.3574
4,-31.99865,-50.3316,7.0,32.257,18.3548
5,-31.99867,-50.33161,8.0,32.2629,18.3536
6,-31.99869,-50.33163,9.0,32.4316,18.2894
7,-31.9987,-50.33164,10.0,32.5587,18.1234
8,-31.99872,-50.33164,11.0,32.6359,17.4182
9,-31.99875,-50.33166,12.0,32.7967,16.8154
10,-31.99876,-50.33166,13.0,32.9383,16.3244
11,-31.99878,-50.33168,14.0,33.0696,16.3644
12,-31.9988,-50.33168,15.0,33.5031,16.9456
13,-31.99883,-50.33171,16.0,33.6547,17.1845
14,-31.99884,-50.33172,17.0,33.7634,17.1677
15,-31.99885,-50.33173,18.0,33.929,17.3231
16,-31.99888,-50.33174,19.0,33.974,17.3518
17,-31.9989,-50.33174,20.0,34.0237,17.3296
18,-31.99894,-50.33176,21.0,34.0693,17.2814
19,-31.99894,-50.33174,22.0,34.1757,17.3349
20,-31.99895,-50.33175,23.0,34.3216,17.5069
21,-31.99898,-50.33178,24.0,34.5614,17.7708
22,-31.99899,-50.33178,25.0,34.7189,18.0226
23,-31.99902,-50.33179,26.0,34.8199,18.2083
24,-31.99902,-50.3318,27.0,34.8707,18.3066
25,-31.99905,-50.33182,28.0,34.8977,18.3642
26,-31.99906,-50.33182,29.0,35.0334,18.5636
27,-31.99908,-50.33182,30.0,35.1806,18.7536
28,-31.9991,-50.33184,31.0,35.4076,19.093
29,-31.99912,-50.33184,32.0,35.4934,19.2668
30,-31.99912,-50.33184,33.0,35.62,19.4731
31,-31.99914,-50.33186,34.0,35.6976,19.5969
32,-31.99916,-50.33188,35.0,35.7305,19.6393
33,-31.99918,-50.33188,36.0,35.771,19.6578
34,-31.99919,-50.33188,37.0,35.8125,19.6731
35,-31.99921,-50.3319,38.0,35.8523,19.6928
36,-31.99922,-50.3319,39.0,35.8991,19.6893
37,-31.99923,-50.33191,40.0,35.9255,19.7029
