,LAT,LON,PRES,SAL,TEMP
0,-37.51773,-55.54305,3.0,33.5667,9.5678
1,-37.51777,-55.54314,4.0,33.5655,9.5586
2,-37.5178,-55.54322,5.0,33.5642,9.5494
3,-37.51778,-55.54324,6.0,33.5642,9.538
4,-37.51779,-55.54324,7.0,33.5635,9.5071
5,-37.5178,-55.54324,8.0,33.5639,9.4454
6,-37.5178,-55.54324,9.0,33.5642,9.3662
7,-37.51781,-55.54325,10.0,33.568,9.2665
8,-37.51781,-55.54326,11.0,33.5746,9.164
9,-37.5178,-55.54326,12.0,33.5874,9.0198
10,-37.5178,-55.54326,13.0,33.6041,8.8966
11,-37.51782,-55.54327,14.0,33.6218,8.7642
12,-37.51782,-55.5433,15.0,33.6421,8.5799
13,-37.51782,-55.5433,16.0,33.6542,8.4373
14,-37.51782,-55.5433,17.0,33.6538,8.274
15,-37.51782,-55.5433,18.0,33.6534,8.129
16,-37.51782,-55.54331,19.0,33.653,7.9773
17,-37.51783,-55.54333,20.0,33.6553,7.9014
18,-37.51784,-55.54334,21.0,33.658,7.892
19,-37.51785,-55.54335,22.0,33.6597,7.8781
20,-37.51784,-55.54336,23.0,33.661,7.8733
21,-37.51784,-55.54336,24.0,33.6639,7.8688
22,-37.51784,-55.54336,25.0,33.6651,7.8681
23,-37.51784,-55.54336,26.0,33.6656,7.867
24,-37.51785,-55.54336,27.0,33.6659,7.8654
25,-37.51785,-55.54338,28.0,33.6664,7.8615
26,-37.51784,-55.5434,29.0,33.6671,7.86
27,-37.51785,-55.5434,30.0,33.6674,7.858
28,-37.51786,-55.5434,31.0,33.6685,7.8561
29,-37.51786,-55.5434,32.0,33.6703,7.8515
30,-37.51787,-55.5434,33.0,33.6752,7.8332
31,-37.51787,-55.54341,34.0,33.6836,7.7402
32,-37.51786,-55.54344,35.0,33.6866,7.7115
33,-37.51787,-55.54344,36.0,33.6867,7.7081
34,-37.51788,-55.54344,37.0,33.6878,7.7001
35,-37.51788,-55.54344,38.0,33.6887,7.6897
36,-37.5179,-55.54344,39.0,33.6891,7.6859
37,-37.51789,-55.54346,40.0,33.6902,7.673
38,-37.51788,-55.54348,41.0,33.6906,7.661
39,-37.5179,-55.54348,42.0,33.6914,7.6449
40,-37.5179,-55.54348,43.0,33.6926,7.6247
41,-37.5179,-55.54348,44.0,33.6934,7.6163
42,-37.5179,-55.54349,45.0,33.6941,7.6125
43,-37.5179,-55.54351,46.0,33.6948,7.6084
44,-37.5179,-55.54352,47.0,33.6958,7.6043
45,-37.51791,-55.54353,48.0,33.7025,7.5702
46,-37.51792,-55.54354,49.0,33.7195,7.5151
47,-37.51792,-55.54354,50.0,33.7304,7.4717
48,-37.51792,-55.54354,51.0,33.7443,7.421
49,-37.51792,-55.54356,52.0,33.7535,7.3861
50,-37.51792,-55.54356,53.0,33.7588,7.368
51,-37.51793,-55.54356,54.0,33.7624,7.3561
52,-37.51793,-55.54358,55.0,33.7652,7.3472
53,-37.51792,-55.54358,56.0,33.7679,7.3371
54,-37.51794,-55.54358,57.0,33.7726,7.3198
55,-37.51794,-55.54359,58.0,33.7826,7.2796
56,-37.51794,-55.5436,59.0,33.7885,7.2521
57,-37.51794,-55.54361,60.0,33.797,7.2168
58,-37.51794,-55.54362,61.0,33.8015,7.1947
59,-37.51796,-55.54362,62.0,33.8064,7.1742
60,-37.51796,-55.54364,63.0,33.8098,7.1584
61,-37.51796,-55.54365,64.0,33.8158,7.1312
62,-37.51796,-55.54364,65.0,33.8175,7.1235
63,-37.51799,-55.54369,66.0,33.8179,7.1221
64,-37.51809,-55.54392,67.0,33.8174,7.1236
65,-37.51808,-55.54396,68.0,33.8177,7.1216
66,-37.5181,-55.54397,69.0,33.8208,7.1069
67,-37.51811,-55.544,70.0,33.823,7.0975
68,-37.51812,-55.544,71.0,33.8232,7.0961
69,-37.51814,-55.54404,72.0,33.8261,7.0849
70,-37.51814,-55.54404,73.0,33.8264,7.0836
71,-37.51816,-55.54407,74.0,33.8262,7.0837
72,-37.51818,-55.54411,75.0,33.8261,7.0847
73,-37.51818,-55.54414,76.0,33.8261,7.085
74,-37.5182,-55.54417,77.0,33.8263,7.0844
75,-37.51826,-55.54428,78.0,33.8268,7.0833
76,-37.51849,-55.54472,79.0,33.8267,7.0832
